skill_id,employee_id,skill_name,skill_level,years_experience
ID_SKILL_001,ID_0007,Python,Advanced,5.5
ID_SKILL_002,ID_0014,Java,Intermediate,3.2
ID_SKILL_003,ID_0034,Project Management,Expert,8.0
ID_SKILL_004,ID_0008,Data Analysis,Advanced,4.7
ID_SKILL_005,ID_0035,SQL,Intermediate,2.9
ID_SKILL_006,ID_0036,JavaScript React Frontend,Advanced,6.1
ID_SKILL_007,ID_0086,Machine Learning,Expert,7.3
ID_SKILL_008,ID_0055,Cloud Computing,Intermediate,3.8
ID_SKILL_009,ID_0076,DevOps,Advanced,5.0
ID_SKILL_010,ID_0007,UI/UX Design,Intermediate,3.5
ID_SKILL_011,ID_0060,Python,Expert,9.0
ID_SKILL_012,ID_0065,Java,Advanced,5.4
ID_SKILL_013,ID_0025,Project Management,Intermediate,3.1
ID_SKILL_014,ID_00556,Data Analysis,Expert,7.8
ID_SKILL_015,ID_0067,SQL,Advanced,4.6
ID_SKILL_016,ID_0053,JavaScript,Intermediate,3.3
ID_SKILL_017,ID_0023,Machine Learning,Advanced,5.9
ID_SKILL_018,ID_0026,Cloud Computing,Expert,8.2
ID_SKILL_019,ID_0009,DevOps,Intermediate,3.7
ID_SKILL_020,ID_0075,UI/UX Design,Advanced,5.1
ID_SKILL_021,ID_0042,Python,Intermediate,3.4
ID_SKILL_022,ID_0016,Java,Expert,7.6
ID_SKILL_023,ID_0090,Project Management,Advanced,5.3
ID_SKILL_024,ID_0011,Data Analysis,Intermediate,3.0
ID_SKILL_025,ID_0079,SQL,Expert,8.1
ID_SKILL_026,ID_0028,JavaScript,Advanced,5.7
ID_SKILL_027,ID_0006,Machine Learning,Intermediate,3.6
ID_SKILL_028,ID_0006,Cloud Computing,Advanced,5.2
ID_SKILL_029,ID_0018,DevOps,Expert,7.9
ID_SKILL_030,ID_0079,UI/UX Design,Intermediate,3.8
ID_SKILL_031,ID_0028,Python,Advanced,6.0
ID_SKILL_032,ID_0022,Java,Intermediate,3.9
ID_SKILL_033,ID_0003,Project Management,Expert,8.3
ID_SKILL_034,ID_0085,Data Analysis,Advanced,5.5
ID_SKILL_035,ID_0027,SQL,Intermediate,3.1
ID_SKILL_036,ID_0033,JavaScript,Advanced,6.2
ID_SKILL_037,ID_0043,Machine Learning,Expert,7.4
ID_SKILL_038,ID_0091,Cloud Computing,Intermediate,3.9
ID_SKILL_039,ID_0088,DevOps,Advanced,5.3
ID_SKILL_040,ID_0072,UI/UX Design,Intermediate,3.6
ID_SKILL_041,ID_0099,Python,Expert,9.1
ID_SKILL_042,ID_0055,Java,Advanced,5.6
ID_SKILL_043,ID_0058,Project Management,Intermediate,3.2
ID_SKILL_044,ID_0083,Data Analysis,Expert,7.9
ID_SKILL_045,ID_0088,SQL,Advanced,4.7
ID_SKILL_046,ID_0088,JavaScript,Intermediate,3.4
ID_SKILL_047,ID_0072,Machine Learning,Advanced,6.0
ID_SKILL_048,ID_0084,Cloud Computing,Expert,8.3
ID_SKILL_049,ID_0082,DevOps,Intermediate,3.8
ID_SKILL_050,ID_0009,UI/UX Design,Advanced,5.2
ID_SKILL_051,ID_0098,Python,Intermediate,3.5
ID_SKILL_052,ID_0033,Java,Expert,7.7
ID_SKILL_053,ID_0045,Project Management,Advanced,5.4
ID_SKILL_054,ID_0079,Data Analysis,Intermediate,3.1
ID_SKILL_055,ID_0096,SQL,Expert,8.2
ID_SKILL_056,ID_0089,JavaScript,Advanced,5.8
ID_SKILL_057,ID_0016,Machine Learning,Intermediate,3.7
ID_SKILL_058,ID_0017,Cloud Computing,Advanced,5.3
ID_SKILL_059,ID_0047,DevOps,Expert,8.0
ID_SKILL_060,ID_0004,UI/UX Design,Intermediate,3.9
ID_SKILL_061,ID_0027,Python,Advanced,6.1
ID_SKILL_062,ID_0060,Java,Intermediate,4.0
ID_SKILL_063,ID_0077,Project Management,Expert,8.4
ID_SKILL_064,ID_0027,Data Analysis,Advanced,5.6
ID_SKILL_065,ID_0006,SQL,Intermediate,3.2
ID_SKILL_066,ID_0007,JavaScript,Advanced,6.3
ID_SKILL_067,ID_0072,Machine Learning,Expert,7.5
ID_SKILL_068,ID_0076,Cloud Computing,Intermediate,4.0
ID_SKILL_069,ID_0054,DevOps,Advanced,5.4
ID_SKILL_070,ID_0024,UI/UX Design,Intermediate,3.7
ID_SKILL_071,ID_0027,Python,Expert,9.2
ID_SKILL_072,ID_0045,Java,Advanced,5.7
ID_SKILL_073,ID_0066,Project Management,Intermediate,3.3
ID_SKILL_074,ID_0039,Data Analysis,Expert,8.0
ID_SKILL_075,ID_0013,SQL,Advanced,4.8
ID_SKILL_076,ID_0047,JavaScript,Intermediate,3.5
ID_SKILL_077,ID_0001,Machine Learning,Advanced,6.1
ID_SKILL_078,ID_0053,Cloud Computing,Expert,8.4
ID_SKILL_079,ID_0023,DevOps,Intermediate,3.9
ID_SKILL_080,ID_0018,UI/UX Design,Advanced,5.3
ID_SKILL_081,ID_0062,Python,Intermediate,3.6
ID_SKILL_082,ID_0036,Java,Expert,7.8
ID_SKILL_083,ID_0021,Project Management,Advanced,5.5
ID_SKILL_084,ID_0042,Data Analysis,Intermediate,3.2
ID_SKILL_085,ID_0007,SQL,Expert,8.3
ID_SKILL_086,ID_0036,JavaScript,Advanced,5.9
ID_SKILL_087,ID_0058,Machine Learning,Intermediate,3.8
ID_SKILL_088,ID_0001,Cloud Computing,Advanced,5.4
ID_SKILL_089,ID_0093,DevOps,Expert,8.1
ID_SKILL_090,ID_0022,UI/UX Design,Intermediate,4.0
ID_SKILL_091,ID_0053,Python,Advanced,6.2
ID_SKILL_092,ID_0090,Java,Intermediate,4.1
ID_SKILL_093,ID_0054,Project Management,Expert,8.5
ID_SKILL_094,ID_0029,Data Analysis,Advanced,5.7
ID_SKILL_095,ID_0023,SQL,Intermediate,3.3
ID_SKILL_096,ID_0039,JavaScript,Advanced,6.4
ID_SKILL_097,ID_0016,Machine Learning,Expert,7.6
ID_SKILL_098,ID_0024,Cloud Computing,Intermediate,4.1
ID_SKILL_099,ID_0066,DevOps,Advanced,5.5
ID_SKILL_100,ID_0092,UI/UX Design,Intermediate,3.8
ID_SKILL_110,ID_0008,React,Advanced,4.7
ID_SKILL_111,ID_0008,Frontend,Advanced,4.7
ID_SKILL_112,ID_0008,AWS,Advanced,4.7
